# height[x, y] in metres: x is index of the azimuthal position on the receiver surface, from South, counter clockwise; and y: index of height on the receiver from bottom to top.
2.589285714285714524e-01,2.589285714285714524e-01,2.589285714285714524e-01,2.589285714285714524e-01,2.589285714285714524e-01,2.589285714285714524e-01,2.589285714285714524e-01,2.589285714285714524e-01,2.589285714285714524e-01,2.589285714285714524e-01,2.589285714285714524e-01,2.589285714285714524e-01
7.767857142857144126e-01,7.767857142857144126e-01,7.767857142857144126e-01,7.767857142857144126e-01,7.767857142857144126e-01,7.767857142857144126e-01,7.767857142857144126e-01,7.767857142857144126e-01,7.767857142857144126e-01,7.767857142857144126e-01,7.767857142857144126e-01,7.767857142857144126e-01
1.294642857142857206e+00,1.294642857142857206e+00,1.294642857142857206e+00,1.294642857142857206e+00,1.294642857142857206e+00,1.294642857142857206e+00,1.294642857142857206e+00,1.294642857142857206e+00,1.294642857142857206e+00,1.294642857142857206e+00,1.294642857142857206e+00,1.294642857142857206e+00
1.812500000000000222e+00,1.812500000000000222e+00,1.812500000000000222e+00,1.812500000000000222e+00,1.812500000000000222e+00,1.812500000000000222e+00,1.812500000000000222e+00,1.812500000000000222e+00,1.812500000000000222e+00,1.812500000000000222e+00,1.812500000000000222e+00,1.812500000000000222e+00
2.330357142857143238e+00,2.330357142857143238e+00,2.330357142857143238e+00,2.330357142857143238e+00,2.330357142857143238e+00,2.330357142857143238e+00,2.330357142857143238e+00,2.330357142857143238e+00,2.330357142857143238e+00,2.330357142857143238e+00,2.330357142857143238e+00,2.330357142857143238e+00
2.848214285714286031e+00,2.848214285714286031e+00,2.848214285714286031e+00,2.848214285714286031e+00,2.848214285714286031e+00,2.848214285714286031e+00,2.848214285714286031e+00,2.848214285714286031e+00,2.848214285714286031e+00,2.848214285714286031e+00,2.848214285714286031e+00,2.848214285714286031e+00
3.366071428571428825e+00,3.366071428571428825e+00,3.366071428571428825e+00,3.366071428571428825e+00,3.366071428571428825e+00,3.366071428571428825e+00,3.366071428571428825e+00,3.366071428571428825e+00,3.366071428571428825e+00,3.366071428571428825e+00,3.366071428571428825e+00,3.366071428571428825e+00
3.883928571428572063e+00,3.883928571428572063e+00,3.883928571428572063e+00,3.883928571428572063e+00,3.883928571428572063e+00,3.883928571428572063e+00,3.883928571428572063e+00,3.883928571428572063e+00,3.883928571428572063e+00,3.883928571428572063e+00,3.883928571428572063e+00,3.883928571428572063e+00
4.401785714285715301e+00,4.401785714285715301e+00,4.401785714285715301e+00,4.401785714285715301e+00,4.401785714285715301e+00,4.401785714285715301e+00,4.401785714285715301e+00,4.401785714285715301e+00,4.401785714285715301e+00,4.401785714285715301e+00,4.401785714285715301e+00,4.401785714285715301e+00
4.919642857142857650e+00,4.919642857142857650e+00,4.919642857142857650e+00,4.919642857142857650e+00,4.919642857142857650e+00,4.919642857142857650e+00,4.919642857142857650e+00,4.919642857142857650e+00,4.919642857142857650e+00,4.919642857142857650e+00,4.919642857142857650e+00,4.919642857142857650e+00
5.437500000000000000e+00,5.437500000000000000e+00,5.437500000000000000e+00,5.437500000000000000e+00,5.437500000000000000e+00,5.437500000000000000e+00,5.437500000000000000e+00,5.437500000000000000e+00,5.437500000000000000e+00,5.437500000000000000e+00,5.437500000000000000e+00,5.437500000000000000e+00
5.955357142857144126e+00,5.955357142857144126e+00,5.955357142857144126e+00,5.955357142857144126e+00,5.955357142857144126e+00,5.955357142857144126e+00,5.955357142857144126e+00,5.955357142857144126e+00,5.955357142857144126e+00,5.955357142857144126e+00,5.955357142857144126e+00,5.955357142857144126e+00
6.473214285714286476e+00,6.473214285714286476e+00,6.473214285714286476e+00,6.473214285714286476e+00,6.473214285714286476e+00,6.473214285714286476e+00,6.473214285714286476e+00,6.473214285714286476e+00,6.473214285714286476e+00,6.473214285714286476e+00,6.473214285714286476e+00,6.473214285714286476e+00
6.991071428571428825e+00,6.991071428571428825e+00,6.991071428571428825e+00,6.991071428571428825e+00,6.991071428571428825e+00,6.991071428571428825e+00,6.991071428571428825e+00,6.991071428571428825e+00,6.991071428571428825e+00,6.991071428571428825e+00,6.991071428571428825e+00,6.991071428571428825e+00
7.508928571428572063e+00,7.508928571428572063e+00,7.508928571428572063e+00,7.508928571428572063e+00,7.508928571428572063e+00,7.508928571428572063e+00,7.508928571428572063e+00,7.508928571428572063e+00,7.508928571428572063e+00,7.508928571428572063e+00,7.508928571428572063e+00,7.508928571428572063e+00
8.026785714285715301e+00,8.026785714285715301e+00,8.026785714285715301e+00,8.026785714285715301e+00,8.026785714285715301e+00,8.026785714285715301e+00,8.026785714285715301e+00,8.026785714285715301e+00,8.026785714285715301e+00,8.026785714285715301e+00,8.026785714285715301e+00,8.026785714285715301e+00
8.544642857142857650e+00,8.544642857142857650e+00,8.544642857142857650e+00,8.544642857142857650e+00,8.544642857142857650e+00,8.544642857142857650e+00,8.544642857142857650e+00,8.544642857142857650e+00,8.544642857142857650e+00,8.544642857142857650e+00,8.544642857142857650e+00,8.544642857142857650e+00
9.062500000000000000e+00,9.062500000000000000e+00,9.062500000000000000e+00,9.062500000000000000e+00,9.062500000000000000e+00,9.062500000000000000e+00,9.062500000000000000e+00,9.062500000000000000e+00,9.062500000000000000e+00,9.062500000000000000e+00,9.062500000000000000e+00,9.062500000000000000e+00
9.580357142857144126e+00,9.580357142857144126e+00,9.580357142857144126e+00,9.580357142857144126e+00,9.580357142857144126e+00,9.580357142857144126e+00,9.580357142857144126e+00,9.580357142857144126e+00,9.580357142857144126e+00,9.580357142857144126e+00,9.580357142857144126e+00,9.580357142857144126e+00
