# azimuth[i, j] in rad: i is index of the azimuthal position on the receiver surface (counter-clockwise from South); and j is index of height on the receiver from bottom to top.
2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01,2.617993877991494078e-01
7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01,7.853981633974482790e-01
1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00,1.308996938995746984e+00
1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00,1.832595714594045910e+00
2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00,2.356194490192344837e+00
2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00,2.879793265790643542e+00
3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00,3.403392041388942246e+00
3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00,3.926990816987241395e+00
4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00,4.450589592585540544e+00
4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00,4.974188368183838804e+00
